epoch,train_loss,train_acc,test_loss,test_acc
8,0.6579667215538025,76.908,0.8312001252174377,71.63
9,0.6132946922492981,78.41,0.8276802814483643,71.53
10,0.579867845401764,79.572,0.8561468807220459,71.8
11,0.5397835357475281,80.976,0.8236024627685546,72.86
12,0.5105447057175636,82.038,0.8490150964736939,72.89
13,0.47922883895874024,83.246,0.8566533670425415,72.85
14,0.45365053740501404,83.834,0.9139943506240845,70.68
15,0.4219683210659027,84.998,0.9006817217826844,73.31
16,0.3914970050525665,86.034,0.9157743326187133,72.42
17,0.37058169721603396,86.894,1.0112695333480834,71.13
18,0.33967770314216617,87.932,0.9846824916839599,72.44
19,0.31875555970191954,88.586,1.0353550755500793,71.97
