epoch,train_loss,train_acc,test_loss,test_acc
20,0.29383720642089844,89.402,1.0875161839485168,72.06
21,0.2738867748427391,90.152,1.1147930381774902,71.22
22,0.2553499110841751,90.804,1.2032555782318115,70.86
23,0.23982007401943206,91.266,1.2265393547058105,70.96
24,0.22464498998880386,91.924,1.2262101928710938,72.15
25,0.2144457522916794,92.21,1.329751001739502,71.24
26,0.19917694514513015,92.772,1.3697852911949158,70.66
27,0.1730922275352478,93.79,1.425239464187622,71.84
28,0.16892853732347488,93.852,1.5124999897003173,70.37
29,0.1678026269197464,93.868,1.5566068603515626,70.81
