epoch,train_loss,train_acc,test_loss,test_acc
0,1.649469832649231,37.306,1.3358680097579956,51.52
1,1.3410253923797608,52.176,1.2124165367126465,57.48
2,1.234199785423279,57.174,1.0975187933921815,61.54
3,1.1494719727134706,60.506,1.0081228733062744,64.87
4,1.0924961567878724,62.968,0.9977080215454102,64.88
5,1.0589855770492553,64.16,0.9617343707084656,67.06
6,1.0232688675498962,65.648,0.9450310839653016,67.89
7,0.9949452926254272,66.842,0.8868905726432801,69.97
8,0.9697734840774536,67.496,0.9201508547782898,68.22
9,0.9436812334632874,68.422,0.8921424407958984,69.18
