epoch,train_loss,train_acc,test_loss,test_acc
10,0.4756440209579468,84.812,0.6102286040782928,80.83
11,0.43627992535591126,86.066,0.654642444562912,79.56
12,0.4184116176581383,86.654,0.6109685536623001,81.88
13,0.3881903462165594,87.63,0.6428053261041641,81.37
14,0.363932110991478,88.304,0.6370526314258576,82.1
15,0.34222437821388246,88.996,0.6325659202098847,81.3
16,0.3265325870788097,89.538,0.6432503493309021,81.77
17,0.30462258499741557,90.322,0.6473217096567154,82.09
18,0.2989030550301075,90.506,0.6607087611675262,81.37
19,0.2849558351302147,91.138,0.6445565339565277,82.72
